"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"11/8/2025 6 p.m. EST",16679
NYIS,"11/8/2025 7 p.m. EST",16556
NYIS,"11/8/2025 8 p.m. EST",16257
NYIS,"11/8/2025 9 p.m. EST",15882
NYIS,"11/8/2025 10 p.m. EST",15412
NYIS,"11/8/2025 11 p.m. EST",14813
NYIS,"11/9/2025 12 a.m. EST",14184
NYIS,"11/9/2025 1 a.m. EST",13658
NYIS,"11/9/2025 2 a.m. EST",13258
NYIS,"11/9/2025 3 a.m. EST",12978
NYIS,"11/9/2025 4 a.m. EST",12808
NYIS,"11/9/2025 5 a.m. EST",12812
NYIS,"11/9/2025 6 a.m. EST",13073
NYIS,"11/9/2025 7 a.m. EST",13489
NYIS,"11/9/2025 8 a.m. EST",13908
NYIS,"11/9/2025 9 a.m. EST",14312
NYIS,"11/9/2025 10 a.m. EST",14728
NYIS,"11/9/2025 11 a.m. EST",15054
NYIS,"11/9/2025 12 p.m. EST",15541
NYIS,"11/9/2025 1 p.m. EST",15914
NYIS,"11/9/2025 2 p.m. EST",16130
NYIS,"11/9/2025 3 p.m. EST",16359
NYIS,"11/9/2025 4 p.m. EST",16604
NYIS,"11/9/2025 5 p.m. EST",17139
NYIS,"11/9/2025 6 p.m. EST",17627
NYIS,"11/9/2025 7 p.m. EST",17444
NYIS,"11/9/2025 8 p.m. EST",17076
NYIS,"11/9/2025 9 p.m. EST",16597
NYIS,"11/9/2025 10 p.m. EST",15956
NYIS,"11/9/2025 11 p.m. EST",15147
NYIS,"11/10/2025 12 a.m. EST",14363
NYIS,"11/10/2025 1 a.m. EST",13842
NYIS,"11/10/2025 2 a.m. EST",13482
NYIS,"11/10/2025 3 a.m. EST",13231
NYIS,"11/10/2025 4 a.m. EST",13168
NYIS,"11/10/2025 5 a.m. EST",13392
NYIS,"11/10/2025 6 a.m. EST",14159
NYIS,"11/10/2025 7 a.m. EST",15579
NYIS,"11/10/2025 8 a.m. EST",16633
NYIS,"11/10/2025 9 a.m. EST",17197
NYIS,"11/10/2025 10 a.m. EST",17507
NYIS,"11/10/2025 11 a.m. EST",17630
NYIS,"11/10/2025 12 p.m. EST",17825
NYIS,"11/10/2025 1 p.m. EST",17962
NYIS,"11/10/2025 2 p.m. EST",18021
NYIS,"11/10/2025 3 p.m. EST",18093
NYIS,"11/10/2025 4 p.m. EST",18234
NYIS,"11/10/2025 5 p.m. EST",18734
NYIS,"11/10/2025 6 p.m. EST",19372
NYIS,"11/10/2025 7 p.m. EST",19224
NYIS,"11/10/2025 8 p.m. EST",18840
NYIS,"11/10/2025 9 p.m. EST",18330
NYIS,"11/10/2025 10 p.m. EST",17624
NYIS,"11/10/2025 11 p.m. EST",16741
NYIS,"11/11/2025 12 a.m. EST",15861
NYIS,"11/11/2025 1 a.m. EST",15251
NYIS,"11/11/2025 2 a.m. EST",14813
NYIS,"11/11/2025 3 a.m. EST",14550
NYIS,"11/11/2025 4 a.m. EST",14470
NYIS,"11/11/2025 5 a.m. EST",14703
NYIS,"11/11/2025 6 a.m. EST",15403
NYIS,"11/11/2025 7 a.m. EST",16503
NYIS,"11/11/2025 8 a.m. EST",17395
NYIS,"11/11/2025 9 a.m. EST",17810
NYIS,"11/11/2025 10 a.m. EST",18035
NYIS,"11/11/2025 11 a.m. EST",18237
NYIS,"11/11/2025 12 p.m. EST",18486
NYIS,"11/11/2025 1 p.m. EST",18497
NYIS,"11/11/2025 2 p.m. EST",18622
NYIS,"11/11/2025 3 p.m. EST",18748
NYIS,"11/11/2025 4 p.m. EST",19068
NYIS,"11/11/2025 5 p.m. EST",19754
NYIS,"11/11/2025 6 p.m. EST",20325
NYIS,"11/11/2025 7 p.m. EST",20034
NYIS,"11/11/2025 8 p.m. EST",19543
NYIS,"11/11/2025 9 p.m. EST",18867
NYIS,"11/11/2025 10 p.m. EST",18029
NYIS,"11/11/2025 11 p.m. EST",17017
NYIS,"11/12/2025 12 a.m. EST",16052
NYIS,"11/12/2025 1 a.m. EST",15392
NYIS,"11/12/2025 2 a.m. EST",14922
NYIS,"11/12/2025 3 a.m. EST",14642
NYIS,"11/12/2025 4 a.m. EST",14525
NYIS,"11/12/2025 5 a.m. EST",14745
NYIS,"11/12/2025 6 a.m. EST",15553
NYIS,"11/12/2025 7 a.m. EST",16982
NYIS,"11/12/2025 8 a.m. EST",17966
NYIS,"11/12/2025 9 a.m. EST",18402
NYIS,"11/12/2025 10 a.m. EST",18587
NYIS,"11/12/2025 11 a.m. EST",18663
NYIS,"11/12/2025 12 p.m. EST",18442
NYIS,"11/12/2025 1 p.m. EST",18199
NYIS,"11/12/2025 2 p.m. EST",18030
NYIS,"11/12/2025 3 p.m. EST",18176
NYIS,"11/12/2025 4 p.m. EST",18463
NYIS,"11/12/2025 5 p.m. EST",19007
NYIS,"11/12/2025 6 p.m. EST",19494
NYIS,"11/12/2025 7 p.m. EST",19258
NYIS,"11/12/2025 8 p.m. EST",18816
NYIS,"11/12/2025 9 p.m. EST",18219
NYIS,"11/12/2025 10 p.m. EST",17400
NYIS,"11/12/2025 11 p.m. EST",16359
NYIS,"11/13/2025 12 a.m. EST",15395
NYIS,"11/13/2025 1 a.m. EST",14686
NYIS,"11/13/2025 2 a.m. EST",14211
NYIS,"11/13/2025 3 a.m. EST",13910
NYIS,"11/13/2025 4 a.m. EST",13814
NYIS,"11/13/2025 5 a.m. EST",14039
NYIS,"11/13/2025 6 a.m. EST",14830
NYIS,"11/13/2025 7 a.m. EST",16249
NYIS,"11/13/2025 8 a.m. EST",17193
NYIS,"11/13/2025 9 a.m. EST",17401
NYIS,"11/13/2025 10 a.m. EST",17246
NYIS,"11/13/2025 11 a.m. EST",17319
NYIS,"11/13/2025 12 p.m. EST",17394
NYIS,"11/13/2025 1 p.m. EST",17222
NYIS,"11/13/2025 2 p.m. EST",16983
NYIS,"11/13/2025 3 p.m. EST",17210
NYIS,"11/13/2025 4 p.m. EST",17740
NYIS,"11/13/2025 5 p.m. EST",18593
NYIS,"11/13/2025 6 p.m. EST",19230
NYIS,"11/13/2025 7 p.m. EST",19082
NYIS,"11/13/2025 8 p.m. EST",18725
NYIS,"11/13/2025 9 p.m. EST",18175
NYIS,"11/13/2025 10 p.m. EST",17368
NYIS,"11/13/2025 11 p.m. EST",16406
NYIS,"11/14/2025 12 a.m. EST",15457
NYIS,"11/14/2025 1 a.m. EST",14818
NYIS,"11/14/2025 2 a.m. EST",14380
NYIS,"11/14/2025 3 a.m. EST",14127
NYIS,"11/14/2025 4 a.m. EST",14029
NYIS,"11/14/2025 5 a.m. EST",14257
NYIS,"11/14/2025 6 a.m. EST",15080
NYIS,"11/14/2025 7 a.m. EST",16469
NYIS,"11/14/2025 8 a.m. EST",17131
NYIS,"11/14/2025 9 a.m. EST",16722
NYIS,"11/14/2025 10 a.m. EST",16109
NYIS,"11/14/2025 11 a.m. EST",15987
NYIS,"11/14/2025 12 p.m. EST",16356
NYIS,"11/14/2025 1 p.m. EST",16832
NYIS,"11/14/2025 2 p.m. EST",17046
NYIS,"11/14/2025 3 p.m. EST",17331
NYIS,"11/14/2025 4 p.m. EST",17744
NYIS,"11/14/2025 5 p.m. EST",18383
NYIS,"11/14/2025 6 p.m. EST",18771
NYIS,"11/14/2025 7 p.m. EST",18480
NYIS,"11/14/2025 8 p.m. EST",18072
NYIS,"11/14/2025 9 p.m. EST",17620
NYIS,"11/14/2025 10 p.m. EST",16977
NYIS,"11/14/2025 11 p.m. EST",16253
NYIS,"11/15/2025 12 a.m. EST",15479
NYIS,"11/15/2025 1 a.m. EST",14888
NYIS,"11/15/2025 2 a.m. EST",14470
NYIS,"11/15/2025 3 a.m. EST",14195
NYIS,"11/15/2025 4 a.m. EST",14069
NYIS,"11/15/2025 5 a.m. EST",14180
NYIS,"11/15/2025 6 a.m. EST",14527
NYIS,"11/15/2025 7 a.m. EST",15101
NYIS,"11/15/2025 8 a.m. EST",15383
NYIS,"11/15/2025 9 a.m. EST",15303
NYIS,"11/15/2025 10 a.m. EST",15197
NYIS,"11/15/2025 11 a.m. EST",15086
NYIS,"11/15/2025 12 p.m. EST",15235
NYIS,"11/15/2025 1 p.m. EST",15501
NYIS,"11/15/2025 2 p.m. EST",15636
NYIS,"11/15/2025 3 p.m. EST",15902
NYIS,"11/15/2025 4 p.m. EST",16571
NYIS,"11/15/2025 5 p.m. EST",17345
NYIS,"11/15/2025 6 p.m. EST",17783
NYIS,"11/15/2025 7 p.m. EST",17584
NYIS,"11/15/2025 8 p.m. EST",17276
NYIS,"11/15/2025 9 p.m. EST",16858
NYIS,"11/15/2025 10 p.m. EST",16285
NYIS,"11/15/2025 11 p.m. EST",15552
NYIS,"11/16/2025 12 a.m. EST",14840
NYIS,"11/16/2025 1 a.m. EST",14279
NYIS,"11/16/2025 2 a.m. EST",13756
NYIS,"11/16/2025 3 a.m. EST",13426
NYIS,"11/16/2025 4 a.m. EST",13257
NYIS,"11/16/2025 5 a.m. EST",13267
NYIS,"11/16/2025 6 a.m. EST",13454
NYIS,"11/16/2025 7 a.m. EST",13859
NYIS,"11/16/2025 8 a.m. EST",14261
NYIS,"11/16/2025 9 a.m. EST",14459
NYIS,"11/16/2025 10 a.m. EST",14387
NYIS,"11/16/2025 11 a.m. EST",14608
NYIS,"11/16/2025 12 p.m. EST",14750
NYIS,"11/16/2025 1 p.m. EST",15082
NYIS,"11/16/2025 2 p.m. EST",15432
NYIS,"11/16/2025 3 p.m. EST",15853
NYIS,"11/16/2025 4 p.m. EST",16550
NYIS,"11/16/2025 5 p.m. EST",17552
NYIS,"11/16/2025 6 p.m. EST",18391
NYIS,"11/16/2025 7 p.m. EST",18412
NYIS,"11/16/2025 8 p.m. EST",18152
NYIS,"11/16/2025 9 p.m. EST",17744
NYIS,"11/16/2025 10 p.m. EST",17073
NYIS,"11/16/2025 11 p.m. EST",16230
NYIS,"11/17/2025 12 a.m. EST",15405
NYIS,"11/17/2025 1 a.m. EST",14893
NYIS,"11/17/2025 2 a.m. EST",14502
NYIS,"11/17/2025 3 a.m. EST",14299
NYIS,"11/17/2025 4 a.m. EST",14270
NYIS,"11/17/2025 5 a.m. EST",14613
NYIS,"11/17/2025 6 a.m. EST",15510
NYIS,"11/17/2025 7 a.m. EST",16971
NYIS,"11/17/2025 8 a.m. EST",17853
NYIS,"11/17/2025 9 a.m. EST",17945
NYIS,"11/17/2025 10 a.m. EST",17832
NYIS,"11/17/2025 11 a.m. EST",17775
NYIS,"11/17/2025 12 p.m. EST",17585
NYIS,"11/17/2025 1 p.m. EST",17534
NYIS,"11/17/2025 2 p.m. EST",17787
NYIS,"11/17/2025 3 p.m. EST",18050
NYIS,"11/17/2025 4 p.m. EST",18602
NYIS,"11/17/2025 5 p.m. EST",19445
